ranking,item_name,star_rating,review_count,price
#1,"Fire TV Stick streaming media player with Alexa built in, includes Alexa Voice Remote, HD, easy set-up, released 2019",4.5 out of 5 stars,"126,747",$39.99
#2,"Fire TV Stick 4K streaming device with Alexa built in, Ultra HD, Dolby Vision, includes the Alexa Voice Remote",4.6 out of 5 stars,"147,721",$49.99
#3,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,4.7 out of 5 stars,"296,928",$29.99
#4,Roku Express HD Streaming Media Player 2019,4.6 out of 5 stars,"6,263",$29.00
#5,Echo Auto - Add Alexa to your car,3.6 out of 5 stars,"33,200",$29.99
#6,Echo Dot (3rd Gen) - Smart speaker with Alexa - Sandstone,4.7 out of 5 stars,"296,928",$29.99
#7,Echo Dot (3rd Gen) - Smart speaker with Alexa - Plum,4.7 out of 5 stars,"296,928",$29.99
#8,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Voice Remote with TV Controls (updated for 2019),4.4 out of 5 stars,"10,386",$46.60
#9,Echo Show 5 – Compact smart display with Alexa - Charcoal,4.5 out of 5 stars,"74,385",$64.99
#10,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",4.6 out of 5 stars,"1,623",$32.14
#11,Echo Dot (3rd Gen) - Smart speaker with Alexa - Heather Gray,4.7 out of 5 stars,"296,928",$29.99
#12,Kindle Paperwhite – Now Waterproof with 2x the Storage – Includes Special Offers,4.4 out of 5 stars,"27,962",$94.99
#13,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, One Pack, White - WYZEC2",4.3 out of 5 stars,"23,215",$25.98
#14,"Introducing Echo Show 8 - HD 8"" smart display with Alexa - Charcoal",4.6 out of 5 stars,"17,182",$89.99
#15,"Amazon Smart Plug, works with Alexa – A Certified for Humans Device",4.7 out of 5 stars,"60,236",$24.99
#16,Ring Rechargeable Battery Pack,4.7 out of 5 stars,"5,411",$29.00
#17,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, White - WYZECP1",4.3 out of 5 stars,"11,783",$37.98
#18,Fujifilm INSTAX Mini Instant Film 2 Pack = 20 Sheets (White) for Fujifilm Mini 8 & Mini 9 Cameras,4.6 out of 5 stars,"2,132",$14.51
#19,All-new Kindle - Now with a Built-in Front Light - Black - Includes Special Offers,4.4 out of 5 stars,"8,072",$64.99
#20,"8"" Selfie Ring Light with Tripod Stand & Cell Phone Holder for Live Stream/Makeup, UBeesize Mini Led Camera Ringlight for YouTube Video/Photography Compatible with iPhone Xs Max XR Android (Upgraded)",4.5 out of 5 stars,"4,788",$29.99
#21,amFilm Tempered Glass Screen Protector for Nintendo Switch 2017 (2-Pack),4.7 out of 5 stars,"21,631",$7.99
#22,NETGEAR Nighthawk Smart WiFi Router (R6700) - AC1750 Wireless Speed (up to 1750 Mbps) | Up to 1500 sq ft Coverage & 25 Devices | 4 x 1G Ethernet and 1 x 3.0 USB ports | Armor Security,4.2 out of 5 stars,"37,940",$72.63
#23,"TP-Link AC1750 Smart WiFi Router - Dual Band Gigabit Wireless Internet Router for Home, Works with Alexa, VPN Server, Parental Control&QoS (Archer A7)",4.2 out of 5 stars,"6,015",$51.99
#24,"DUDE Wipes Flushable Wet Wipes Dispenser (3 Packs 48 Wipes), Unscented Wet Wipes with Vitamin-E & Aloe for at-Home Use, Septic and Sewer Safe",4.6 out of 5 stars,"3,087",$8.94
#25,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant (Pack of 2), White - WYZEC2X2",4.5 out of 5 stars,"4,878",$47.41
#26,"Power Strip with USB, Anker 3-Outlet & 3 PowerIQ USB Power Strip Surge Protector, PowerPort Strip 3 with 5 Foot Long Extension Cord, Flat Plug, Safety Shutter, for Home, Office (300 J)",4.7 out of 5 stars,400,$22.99
#27,Roku Ultra | Streaming Media Player 4K/HD/HDR with Premium JBL Headphones 2019,4.6 out of 5 stars,"3,004",$74.75
#28,"Fire 7 Tablet (7"" display, 16 GB) - Black",4.3 out of 5 stars,"42,428",$49.99
#29,All-new Echo Dot (3rd Gen) - Smart speaker with clock and Alexa - Sandstone,4.7 out of 5 stars,"296,928",$39.99
#30,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA port),4.6 out of 5 stars,"3,732",$89.99
#31,"AmazonBasics Small Digital Alarm Clock with Nightlight and Battery Backup, LED Display",4.4 out of 5 stars,895,$9.99
#32,All-new Echo (3rd Gen)- Smart speaker with Alexa- Charcoal,4.7 out of 5 stars,"17,797",$74.99
#33,"Introducing Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, White, Works with Alexa",4.5 out of 5 stars,"3,375",$59.99
#34,"RUNMUS Stereo Gaming Headset for PS4, Xbox One, Nintendo Switch, PC, PS3, Mac, Laptop, Over Ear Headphones PS4 Headset Xbox One Headset with Surround Sound, LED Light & Noise Canceling Microphone",4.6 out of 5 stars,"10,355",$26.85
#35,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),4.8 out of 5 stars,"6,161",$299.00
#36,"HP 23.8-inch FHD IPS Monitor with Tilt/Height Adjustment (VH240a, Black)",4.5 out of 5 stars,"3,013",$104.62
#37,Cool Sticker 100pcs Random Music Film Vinyl Skateboard Guitar Travel Case Sticker Door Laptop Luggage Car Bike Bicycle Stickers (100pcs),4.3 out of 5 stars,"2,712",$6.69
#38,"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L",4.5 out of 5 stars,"2,996",$313.68
#39,"All-new Fire TV Cube, hands-free with Alexa built in, 4K Ultra HD, streaming media player, released 2019",4.4 out of 5 stars,"5,455",$119.99
#40,"Roku Premiere | HD/4K/HDR Streaming Media Player, Simple Remote and Premium HDMI Cable",4.5 out of 5 stars,"8,218",$38.99
#41,"Scotch-Brite Non-Scratch Scrub Sponges, Cleans Fast without Scratching, Stands Up to Stuck-on Grime, 9 Scrub Sponges",4.7 out of 5 stars,"4,621",$7.82
#42,Polaroid 2x3ʺ Premium ZINK Zero Photo Paper 50-Pack - Compatible with Polaroid Snap / SnapTouch Instant Print Digital Cameras & Polaroid ZIP Mobile Photo Printer,4.7 out of 5 stars,"3,808",$13.46
#43,"3M Particulate Respirator 8210, N95, Smoke, Dust, Grinding, Sanding, Sawing, Sweeping, 20/Pack",4.3 out of 5 stars,115,
#44,Introducing Echo Flex - Plug-in mini smart speaker with Alexa,4.3 out of 5 stars,"4,455",$19.99
